POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
70,984.81,2351.13,2748.12,264.5,134.45,-21.49,-2029.4,-4835.7,976.8,14976.62,0.0,2291.91,-1278.86,15549.84,1013.04,16562.88
71,975.44,2391.59,2723.16,268.06,123.99,0.56,-2058.98,-4845.32,979.7,15016.46,0.0,2288.13,-1277.12,15574.66,1011.0,16585.66
72,974.49,2359.93,2752.15,266.06,146.17,-33.98,-1988.86,-4865.41,1014.04,15054.81,0.0,2303.96,-1301.39,15679.41,1002.57,16681.98
73,971.94,2327.63,2731.37,254.57,142.16,-26.08,-2003.13,-4867.04,992.84,15077.1,0.0,2290.27,-1286.51,15601.36,1003.76,16605.12
74,937.17,2421.83,2766.46,270.25,149.14,-23.65,-2040.92,-4841.04,1012.94,15004.52,0.0,2282.1,-1269.29,15656.7,1012.81,16669.51
75,968.46,2314.55,2732.81,257.78,129.7,-14.35,-2007.89,-4839.48,995.08,14962.41,0.0,2289.8,-1277.15,15499.07,1012.65,16511.73
76,937.18,2274.22,2762.66,258.21,137.01,-3.35,-2001.58,-4850.19,1018.15,15037.72,0.0,2297.0,-1289.09,15570.05,1007.92,16577.96
77,962.74,2305.09,2766.34,264.4,141.94,-12.88,-1992.06,-4843.9,996.52,14982.0,0.0,2287.85,-1274.31,15570.19,1013.54,16583.73
78,914.02,2357.17,2767.0,251.51,139.61,-23.73,-2034.44,-4829.31,1003.58,14970.01,0.0,2283.92,-1274.71,15515.43,1009.21,16524.64
79,948.21,2358.32,2726.85,261.4,145.24,-21.81,-2018.36,-4814.75,1008.24,14918.72,0.0,2299.43,-1286.31,15512.07,1013.12,16525.19
80,924.69,2335.21,2745.99,261.1,147.72,-3.09,-1974.11,-4842.06,1013.96,14972.92,0.0,2293.06,-1282.69,15582.33,1010.37,16592.7
81,985.53,2297.79,2699.9,249.98,141.33,-4.11,-2005.43,-4830.48,987.81,14947.79,0.0,2304.22,-1294.99,15470.12,1009.23,16479.34
82,917.35,2287.6,2708.73,254.88,142.31,-4.59,-1997.86,-4825.8,1004.39,14973.1,0.0,2304.22,-1287.3,15460.09,1016.92,16477.02
83,929.8,2381.89,2738.71,261.27,142.66,-35.41,-2017.94,-4823.06,1019.64,14964.66,0.0,2290.18,-1274.39,15562.21,1015.79,16578.0
84,941.59,2321.32,2734.44,266.81,155.05,-23.01,-1955.88,-4850.87,1045.87,14992.46,0.0,2285.27,-1286.28,15627.78,998.99,16626.77
85,932.91,2382.34,2714.01,262.72,143.32,-15.11,-2008.27,-4817.21,1034.54,14863.26,0.0,2299.63,-1288.91,15492.52,1010.72,16503.24
86,946.3,2303.98,2704.79,257.0,133.81,-22.66,-2008.71,-4818.37,999.71,14891.26,0.0,2299.22,-1294.26,15387.11,1004.96,16392.07
87,955.52,2258.32,2774.64,254.76,135.6,1.27,-1996.33,-4829.27,982.8,14945.57,0.0,2299.8,-1292.81,15482.9,1006.99,16489.89
88,948.59,2278.38,2751.62,257.53,148.92,-13.95,-1996.96,-4848.79,1004.28,14989.96,0.0,2304.22,-1305.04,15519.58,999.18,16518.76
89,919.27,2301.18,2720.2,256.22,149.94,17.31,-2025.36,-4821.56,992.69,14936.61,0.0,2297.2,-1288.03,15446.5,1009.17,16455.67
90,961.59,2410.85,2766.13,275.44,142.9,-1.04,-2003.46,-4840.15,990.65,14928.15,0.0,2306.35,-1304.36,15631.07,1002.0,16633.06
91,948.52,2312.4,2735.56,263.16,141.46,8.41,-2000.63,-4847.23,1011.26,14993.36,0.0,2284.88,-1279.02,15566.26,1005.85,16572.12
92,956.15,2327.75,2741.52,267.41,135.77,-12.44,-2006.93,-4833.88,995.38,15025.81,0.0,2291.28,-1285.32,15596.55,1005.96,16602.51
93,954.46,2367.72,2758.63,276.89,147.59,0.55,-2003.41,-4848.16,1018.53,14991.51,0.0,2294.8,-1284.05,15664.31,1010.75,16675.06
94,930.63,2373.0,2756.18,263.11,127.76,-13.49,-2010.31,-4841.67,989.08,14968.46,0.0,2294.04,-1281.36,15542.76,1012.68,16555.45
95,934.52,2332.22,2724.87,265.96,139.87,0.8,-1994.53,-4852.58,1003.18,15014.43,0.0,2289.32,-1277.46,15568.73,1011.86,16580.59
96,939.68,2252.31,2752.89,260.14,148.18,-9.75,-2006.94,-4844.79,1001.98,14979.29,0.0,2284.8,-1282.74,15472.99,1002.06,16475.04
97,915.99,2426.85,2788.84,270.86,137.1,-12.26,-1984.56,-4837.34,1008.61,14949.4,0.0,2304.07,-1298.02,15663.49,1006.05,16669.53
98,913.22,2287.8,2717.03,250.73,133.44,0.9,-2027.85,-4847.3,999.58,15039.96,0.0,2285.85,-1275.31,15467.5,1010.54,16478.05
99,937.18,2311.86,2716.03,260.11,147.79,25.03,-1999.75,-4836.05,1031.13,14986.59,0.0,2288.99,-1279.09,15579.92,1009.9,16589.82
100,940.63,2367.11,2724.03,260.28,140.14,-5.46,-1999.14,-4850.96,1019.77,14986.19,0.0,2291.87,-1290.65,15582.59,1001.23,16583.81

Ligand Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,1.57,12.38,4.63,2.68,0.31,0.0,-1.28,-22.57,0.71,-5.87,0.0,21.64,-19.11,-7.44,2.54,-4.91
2,1.53,8.53,4.57,3.29,0.04,0.0,-0.67,-24.05,0.7,0.19,0.0,21.4,-19.19,-5.88,2.22,-3.66
3,0.97,9.69,3.77,3.04,0.07,0.0,-1.02,-24.29,0.79,1.07,0.0,21.4,-18.73,-5.91,2.67,-3.24
4,4.92,11.27,5.87,3.27,0.05,0.0,-0.71,-24.17,0.2,-0.36,0.0,21.63,-18.93,0.34,2.7,3.04
5,3.49,7.61,4.76,4.26,0.04,0.0,-0.17,-24.46,0.34,3.17,0.0,21.21,-18.92,-0.96,2.29,1.33
6,2.9,9.53,3.91,4.01,0.14,0.0,-0.95,-24.02,0.34,0.12,0.0,21.52,-18.8,-4.02,2.72,-1.29
