POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
44,1.95,13.06,5.78,3.74,0.09,0.0,-1.52,-21.53,0.2,-6.79,0.0,21.69,-19.19,-5.02,2.5,-2.52
45,4.08,12.25,4.12,4.88,0.33,0.0,-0.54,-23.27,0.32,-2.46,0.0,21.44,-18.69,-0.28,2.76,2.48
46,1.22,9.45,7.59,3.28,0.4,0.0,0.0,-21.45,0.71,-5.9,0.0,21.54,-19.12,-4.7,2.42,-2.28
47,0.46,6.82,5.3,1.72,0.01,0.0,-1.41,-22.34,1.08,-6.75,0.0,21.45,-19.04,-15.13,2.41,-12.71
48,3.65,7.76,4.95,3.3,0.32,0.0,-1.53,-21.34,0.06,-6.27,0.0,21.78,-18.95,-9.1,2.83,-6.28
49,2.04,9.31,4.83,2.49,0.05,0.0,-0.66,-22.5,0.47,-5.65,0.0,21.53,-19.17,-9.62,2.36,-7.26
50,1.93,12.17,4.95,4.13,0.06,0.0,-1.69,-21.11,0.53,-8.29,0.0,21.87,-19.24,-7.33,2.62,-4.71
51,3.01,8.0,5.68,3.67,0.21,0.0,-1.51,-21.04,1.09,-7.39,0.0,21.88,-19.12,-8.29,2.76,-5.53
52,1.81,8.38,5.12,2.96,0.66,0.0,-0.85,-22.96,0.99,-3.77,0.0,21.82,-19.08,-7.67,2.74,-4.93
53,2.56,9.46,4.27,3.52,0.15,0.0,-1.17,-17.24,1.15,-5.22,0.0,21.58,-18.98,-2.52,2.6,0.08
54,2.55,8.31,4.66,2.9,0.27,0.0,-0.76,-21.37,1.86,-7.22,0.0,21.21,-18.84,-8.79,2.37,-6.42
55,0.74,8.91,3.82,2.15,0.12,0.0,-0.68,-23.13,1.12,-2.98,0.0,21.27,-18.9,-9.94,2.37,-7.56
56,1.38,9.8,6.37,2.64,1.02,0.0,-1.53,-22.23,0.69,-7.02,0.0,21.87,-19.11,-8.89,2.77,-6.12
57,1.48,9.12,8.22,2.94,0.04,0.0,-0.49,-22.87,1.57,-5.81,0.0,21.32,-19.12,-5.8,2.2,-3.6
58,2.37,12.39,7.02,4.44,0.1,0.0,-0.81,-18.11,1.89,-4.52,0.0,21.3,-18.82,4.79,2.48,7.27
59,3.33,10.08,5.94,3.21,0.13,0.0,-0.65,-21.49,0.14,-7.77,0.0,21.48,-19.02,-7.08,2.46,-4.62
60,1.79,8.76,5.07,2.55,0.06,0.0,-0.32,-22.12,1.18,-7.98,0.0,21.41,-18.79,-11.0,2.63,-8.38
61,5.68,9.66,4.44,3.49,0.22,0.0,-0.63,-21.24,0.91,-7.58,0.0,21.39,-19.01,-5.04,2.38,-2.66
62,2.48,8.89,7.79,2.96,0.03,0.0,-0.88,-21.4,1.4,-6.66,0.0,21.36,-19.07,-5.4,2.29,-3.11
63,2.53,7.7,7.54,2.8,0.0,0.0,-1.23,-21.88,0.96,-6.92,0.0,21.48,-18.54,-8.49,2.94,-5.55
64,1.98,9.14,5.64,2.79,1.61,0.0,-1.2,-22.18,0.18,-5.42,0.0,21.87,-19.36,-7.45,2.52,-4.93
65,2.31,9.2,6.13,3.75,0.35,0.0,-0.68,-22.73,1.27,-4.23,0.0,21.27,-18.92,-4.64,2.35,-2.29
66,7.88,8.16,7.67,4.49,0.0,0.0,-0.99,-22.17,1.59,-4.04,0.0,21.79,-19.2,2.59,2.6,5.19
67,3.63,14.45,4.36,3.39,0.06,0.0,-0.44,-22.47,-0.28,-2.4,0.0,21.12,-18.8,0.29,2.32,2.61
68,1.88,14.3,5.6,3.94,0.04,0.0,-1.16,-22.86,0.49,-5.88,0.0,21.74,-19.05,-3.64,2.69,-0.95
69,1.59,9.39,5.1,2.27,0.0,0.0,-1.14,-22.46,0.57,-6.55,0.0,21.37,-19.03,-11.23,2.34,-8.89
70,5.21,9.36,6.26,4.32,0.48,0.0,-0.65,-21.88,-0.11,-4.75,0.0,21.89,-18.86,-1.76,3.03,1.27
71,1.64,12.67,5.29,2.7,0.03,0.0,-1.44,-21.1,0.91,-7.1,0.0,21.91,-19.33,-6.43,2.58,-3.85
72,3.77,7.91,4.76,2.99,0.67,0.0,0.22,-21.89,0.62,-8.07,0.0,21.47,-19.0,-9.01,2.46,-6.55
73,2.83,10.54,8.33,3.9,0.02,0.0,-1.11,-21.32,1.14,-6.84,0.0,21.69,-19.17,-2.5,2.51,0.02
74,1.87,8.34,7.52,2.38,0.19,0.0,-0.94,-21.71,0.92,-5.96,0.0,21.47,-18.78,-7.4,2.69,-4.71
75,2.53,11.07,5.09,3.96,0.36,0.0,-0.89,-22.17,0.96,-8.28,0.0,21.22,-19.1,-7.37,2.13,-5.25
